ID,Geometria,Aritmetica,Historia,Redaccion,Comunicacion,Psicologia
1,8,7.7,8.0,9.7,8.3,9.0
2,5.7,5.0,7.0,8.7,7.3,7.3
3,5.7,5.0,6.7,8.3,7.0,7.3
4,8.7,7.7,8.0,9.7,8.0,8.0
5,6.3,6.0,8.7,10.0,8.7,9.0
6,6.3,6.7,7.3,8.7,8.3,8.7
7,5.7,5.0,6.3,8.3,6.3,7.3
8,7.3,5.0,6.7,8.7,7.0,8.0
9,8.7,6.3,8.0,9.3,8.0,8.0
10,5.0,5.0,6.7,6.0,6.3,6.0
11,7.0,6.7,7.7,9.3,8.3,7.7
12,6.0,7.7,7.0,9.3,7.3,7.7
13,6.7,7.3,8.0,9.7,9.3,9.0
14,7.0,6.3,7.0,8.7,8.0,8.3
15,5.7,5.0,6.7,8.3,7.7,6.7
16,8.3,6.3,8.7,9.7,7.3,8.0
17,6.3,7.0,6.3,8.3,7.7,6.7
18,8.0,6.0,6.7,8.7,8.7,8.7
19,6.7,5.0,7.3,9.0,8.3,8.3
20,6.0,5.3,6.7,8.3,6.3,7.3
21,5.0,5.0,7.3,8.0,6.3,7.7
22,5.3,5.0,7.3,8.3,8.0,7.3
23,6.0,7.3,7.0,8.7,6.3,7.0
24,6.7,7.3,6.3,8.3,8.0,6.7
25,7.3,7.7,6.7,7.0,7.3,7.0
26,5.7,5.7,7.0,9.0,8.0,7.3
27,6.0,5.0,7.0,9.0,8.0,7.3
28,7.0,7.3,8.0,9.7,8.7,9.7
29,7.0,8.0,8.7,9.0,9.0,8.7
30,7.3,6.3,6.0,9.7,7.0,7.3
31,6.0,6.0,7.7,8.3,7.0,8.3
32,8.0,6.0,7.3,8.7,9.0,8.7
33,7.7,5.7,8.0,9.3,9.0,8.3
34,6.0,6.3,8.0,8.7,8.3,9.3
35,7.7,7.3,8.3,9.7,9.3,9.0
36,7.7,6.0,8.7,9.3,8.3,8.7
37,5.7,5.3,6.7,8.3,7.7,7.7
38,7.7,6.0,7.3,9.3,8.7,9.3
39,7.0,7.0,8.7,9.7,8.7,8.7
40,5.0,5.3,6.7,8.7,7.0,7.0
41,6.7,7.0,7.7,9.7,8.3,8.3
42,7.0,7.3,6.7,9.0,7.0,7.3
43,6.7,5.7,7.0,9.3,8.3,9.0
44,9.0,8.7,8.3,10.0,9.3,10.0
45,5.0,5.7,7.0,8.7,7.0,7.0
46,7.7,8.8,7.3,10.0,8.3,10.0
47,7.7,6.0,6.7,9.7,8.7,9.3
48,6.3,5.7,6.7,8.7,6.3,8.0
49,5.0,5.0,7.0,8.0,5.7,7.3
50,8.0,8.3,6.7,9.7,7.3,9.7
51,6.7,6.7,7.7,9.3,7.7,8.3
52,5.3,6.7,8.0,8.3,7.7,6.3
53,5.7,5.0,5.3,6.0,6.3,6.7
54,5.0,5.0,6.3,7.0,5.7,6.7
55,5.0,5.0,5.3,6.7,5.3,6.3